           x                  u
    0.0000000000E+00    0.2000000000E+02
    0.9990009990E-03    0.2007098462E+02
    0.1998001998E-02    0.2014186971E+02
    0.2997002997E-02    0.2021265555E+02
    0.3996003996E-02    0.2028334241E+02
    0.4995004995E-02    0.2035393057E+02
    0.5994005994E-02    0.2042442029E+02
    0.6993006993E-02    0.2049481185E+02
    0.7992007992E-02    0.2056510552E+02
    0.8991008991E-02    0.2063530158E+02
    0.9990009990E-02    0.2070540030E+02
    0.1098901099E-01    0.2077540195E+02
    0.1198801199E-01    0.2084530680E+02
    0.1298701299E-01    0.2091511513E+02
    0.1398601399E-01    0.2098482721E+02
    0.1498501499E-01    0.2105444330E+02
    0.1598401598E-01    0.2112396369E+02
    0.1698301698E-01    0.2119338864E+02
    0.1798201798E-01    0.2126271843E+02
    0.1898101898E-01    0.2133195333E+02
    0.1998001998E-01    0.2140109360E+02
    0.2097902098E-01    0.2147013952E+02
    0.2197802198E-01    0.2153909137E+02
    0.2297702298E-01    0.2160794940E+02
    0.2397602398E-01    0.2167671390E+02
    0.2497502498E-01    0.2174538513E+02
    0.2597402597E-01    0.2181396336E+02
    0.2697302697E-01    0.2188244887E+02
    0.2797202797E-01    0.2195084191E+02
    0.2897102897E-01    0.2201914277E+02
    0.2997002997E-01    0.2208735172E+02
    0.3096903097E-01    0.2215546901E+02
    0.3196803197E-01    0.2222349493E+02
    0.3296703297E-01    0.2229142973E+02
    0.3396603397E-01    0.2235927370E+02
    0.3496503497E-01    0.2242702709E+02
    0.3596403596E-01    0.2249469018E+02
    0.3696303696E-01    0.2256226323E+02
    0.3796203796E-01    0.2262974651E+02
    0.3896103896E-01    0.2269714030E+02
    0.3996003996E-01    0.2276444485E+02
    0.4095904096E-01    0.2283166043E+02
    0.4195804196E-01    0.2289878732E+02
    0.4295704296E-01    0.2296582578E+02
    0.4395604396E-01    0.2303277607E+02
    0.4495504496E-01    0.2309963847E+02
    0.4595404595E-01    0.2316641323E+02
    0.4695304695E-01    0.2323310063E+02
    0.4795204795E-01    0.2329970093E+02
    0.4895104895E-01    0.2336621439E+02
    0.4995004995E-01    0.2343264128E+02
    0.5094905095E-01    0.2349898187E+02
